ORDER_ID,CUSTOMER_CD,GROUP_CD,ORDER_CLASS,VEHICLE_CLASS,VEHICLE_OPTION,VEHICLE_TYPE,VEHICLE_SCALE,SHIPPER_CD,BOX_TYPE,BOX_SIZE,ORDER_TEMPERATURE,ORDER_TYPE,ORDER_VOLUME,ORDER_WEIGHT,ORDER_BOX,ORDER_COST,STATUS,P_X,P_Y,P_LOCATION_NM,P_ADDRESS,P_SUB_ADDRESS,P_ZIP_CODE,P_PNU,D_X,D_Y,D_LOCATION_NM,D_ADDRESS,D_SUB_ADDRESS,D_ZIP_CODE,D_PNU,P_ORDER_DATE,P_SLA_TIME,P_OPEN_TIME,P_CLOSE_TIME,D_ORDER_DATE,D_SLA_TIME,D_OPEN_TIME,D_CLOSE_TIME,LOADING_TYPE,P_EST_PROC_TIME,UNLOADING_TYPE,D_EST_PROC_TIME,ENABLE_PACKAGE,ENABLE_REV_NEGO,REMARK,P_MGR_NM,P_CONTACT,D_MGR_NM,D_CONTACT
00000000,00000191,0000000000_0000000000,a,,0,0,1000,shipper3,0,0,0,2,1.605,239,0,0,,126.608908599999,37.4567562,P_0,인천 중구 항동7가 27-3 (축항대로 99) 축항대로 99,,,,126.9358223,37.3926633,D_0,경기 안양시 만안구 안양동 1393 (안양천서로 177) 안양천서로 177 204동,,,,20210601,09:25,0,0,20210601,0,0,0,0,7,0,0,0,0,라보/일반,,,,
00000001,00000191,0000000000_0000000000,a,,0,0,1000,shipper2,0,0,0,2,2.4,558,0,0,,126.6181169,37.4509779,P_1,인천 중구 항동7가 95-1 (축항대로 202) 축항대로 202,,,,127.1504364,37.5925548,D_1,경기 구리시 토평동 997-3 (벌말로 182) 벌말로 182,,,,20210601,09:46,0,0,20210601,0,0,0,1,7,0,0,2,1,1톤/카고,,,,
00000002,00000191,0000000000_0000000000,a,,0,0,1999,shipper3,0,0,0,1,0.07,55,0,0,,126.610064,37.4537523,P_2,인천 중구 항동7가 27-46 (축항대로 124) 축항대로 124,,,,126.9128157,37.5529502,D_2,서울 마포구 서교동 482-9 (월드컵로8길 69) 1층 커스텀아츠,,,,20210601,11:03,0,0,20210601,0,0,0,2,7,0,8,0,2,다마스/일반,,,,
00000003,00000191,0000000000_0000000000,a,,0,0,1999,shipper3,0,0,0,2,5.14,696,0,0,,126.6181169,37.4509779,P_3,인천 중구 항동7가 95-1 (축항대로 202) 축항대로 202,,,,127.2134006,37.6908639,D_3,경기 남양주시 오남리 205-19 (진건오남로 647) 안쪽 주차장 유리사무실 1층),,,,20210601,12:08,0,0,20210601,0,0,0,0,7,1,8,2,0,1톤+/카고,,,,
00000004,00000191,0000000000_0000000000,a,,0,0,1000,shipper3,0,0,0,3,4.04,780,0,0,,126.610064,37.4537523,P_4,인천 중구 항동7가 27-46 (축항대로 124) 축항대로 124,,,,126.6364221,37.5069115,D_4,인천 서구 원창동 391-36 (북항로 144) 신현원창동 391-36 LG전자 3층 위킵5센터,,,,20210601,15:54,0,0,20210601,0,0,0,1,0,2,8,0,1,1톤/카고,,,,
00000005,00000191,0000000000_0000000000,a,,0,0,1000,shipper2,0,0,0,1,0.99,250,0,0,,126.6181169,37.4509779,,인천 중구 항동7가 95-1 (축항대로 202) 축항대로 202,,,,129.1251016,35.1750945,D_5,부산 해운대구 재송동 1208-2 (센텀중앙로 97) 센텀중앙로 97 스카이 비즈지하4층 B421,,,,20210601,16:53,0,0,20210601,0,0,0,2,0,0,8,2,2,1톤/카고,,,,
00000006,00000191,0000000000_0000000000,a,,0,0,1000,,0,0,0,1,2.48,210,0,0,,126.6176196,37.4329336,,인천항/스카이국제물류,,,,127.089752,37.270144,D_6,경기도 용인시 기흥구 중부대로 184 힉스유타워,,,,20210602,0:0,0,0,20210602,0,0,0,0,0,1,0,0,0,1톤,,,,
00000007,00000191,0000000000_0000000000,a,,0,0,1000,,0,0,0,2,0.34,332,0,0,,126.6181169,37.4509779,,인천 중구 항동7가 95-1 (축항대로 202) 축항대로 202,,,,126.9315806,37.2984839,D_7,경기 안산시 상록구 사사동 119-62 (안산테콤길 30) 안산테콤길 30,,,,20210602,10:07,0,0,20210602,0,0,0,1,0,2,0,2,1,1톤/카고,,,,
00000008,00000191,0000000000_0000000000,a,,0,0,2500,,0,0,0,2,2.89,1654,0,0,,128.7100381,35.1330251,,경남 창원시 진해구 남문동 1190-1 (신항8로 321) 신항8로 321,,,,128.98245,35.1448079,D_8,부산 사상구 학장동 234-7 (학장로135번길 65) 학장로135번길 65,,,,20210602,16:52,0,0,20210602,0,0,0,2,0,0,0,0,2,2.5톤/카고,,,,
00000009,00000191,0000000000_0000000000,a,,0,0,1000,,0,0,0,2,0,0,0,0,,126.5999483,37.4535275,,인천항/스카이국제운송,,,,127.2275441,37.6447261,D_9,경기도 남양주시 평내동 388-12 품고창고,,,,20210603,0:0,0,0,20210603,0,0,0,0,0,1,0,2,0,1톤카고,,,,
